epoch,acc,loss,val_acc,val_loss
0,0.47635135135135137,1.9096774462107065,0.09703504010994801,11.201029551318392
1,0.7445945945945946,0.8199143102040162,0.29110512145445994,3.8808204889940123
2,0.8263513513513514,0.5322261552552919,0.5552560656539834,2.2857517174312045
3,0.8391891891891892,0.5147847206205935,0.12938005394852065,9.28168479837176
4,0.8702702702702703,0.43241626024246216,0.380053908114806,3.2082525880510273
5,0.8608108108108108,0.4153631880476668,0.1563342314846111,8.441880588582904
6,0.9175675675675675,0.29422500890654485,0.5121293810178649,2.30004993860291
7,0.925,0.24193316955824157,0.07277628036361498,9.70917986281156
8,0.9567567567567568,0.15200795579600979,0.8059299194587851,0.6256022978664408
9,0.9628378378378378,0.13120662714983966,0.5148247980043252,1.9689400485262396
10,0.9351351351351351,0.19279132686756753,0.6280323437282017,1.2038085145770379
11,0.9527027027027027,0.1316248950724666,0.870619946412963,0.38727833913021653
12,0.9533783783783784,0.137650414616675,0.6226415092733029,1.823028211645039
13,0.9614864864864865,0.134708527576279,0.8140161728280574,0.7212203932258318
14,0.9608108108108108,0.14175807902136364,0.5067385449563718,2.4939241171525817
15,0.977027027027027,0.08041228109819663,0.5741239901822853,1.6258686147931452
16,0.9945945945945946,0.027098149957286346,0.9137466299244658,0.3090782929864534
17,0.9952702702702703,0.01778691036979089,0.9056603784831065,0.28876996891839163
18,0.9891891891891892,0.03516205410296853,0.8544474388711215,0.5557441647162014
19,0.9682432432432433,0.13036446378037736,0.10242587605094652,11.158095850777434
20,0.9662162162162162,0.11328451093789693,0.18598382685062378,9.196882661783471
21,0.9804054054054054,0.05975956592608143,0.765498651487808,0.9045437610534967
22,0.9858108108108108,0.04621283825788949,0.5175202165973797,2.4005752760123693
23,0.9695945945945946,0.09068944687778885,0.8032345024723249,0.7394240156338221
24,0.9662162162162162,0.09537478763912176,0.8652291097088323,0.49313833466115986
25,0.9918918918918919,0.031103356232916986,0.8867924539548047,0.41910398098818374
26,0.9986486486486487,0.01296875668387558,0.603773583620385,2.655357791407089
27,0.9993243243243243,0.008785142394638545,0.9460916453294677,0.157993592100966
28,0.9972972972972973,0.009918844256852124,0.935309973367141,0.20835515326566773
29,0.9986486486486487,0.009476867491832457,0.9245283030114084,0.24255987825098063
30,1.0,0.004048099833213397,0.9245283030114084,0.2409411280182494
31,1.0,0.0020563340789915337,0.9622641509433962,0.1479185356123428
32,1.0,0.003407857182586717,0.9272237208011658,0.2700323113654502
33,1.0,0.001995421907663144,0.9649595698577695,0.14713319427160562
34,0.9952702702702703,0.02124330390408333,0.2776280328269917,9.058849622618478
35,0.9817567567567568,0.08064577383165424,0.5660377360097161,2.7979465751956414
36,0.9871621621621621,0.045750352941654825,0.05929919141482793,13.566549730429431
37,0.9702702702702702,0.09341894044868045,0.12668463615876324,10.814165765705777
38,0.981081081081081,0.06027547918461464,0.6253369278663573,1.8144292780009883
39,0.9912162162162163,0.024550742074545173,0.700808625979565,1.420893851637519
