epoch,acc,loss
0,0.17297297297297298,3.063318106934831
1,0.5074324324324324,2.0566559662690036
2,0.6587837837837838,1.493379916371526
3,0.7479729729729729,1.1476085205335875
4,0.8162162162162162,0.8679308762421479
5,0.8493243243243244,0.7017290940155854
6,0.879054054054054,0.5866520198615821
7,0.9013513513513514,0.48063613788501636
8,0.925,0.41092369975270454
9,0.9452702702702702,0.32880648600088586
10,0.95,0.2900248282664531
11,0.9641891891891892,0.2478087650763022
12,0.9594594594594594,0.24660514625343116
13,0.9743243243243244,0.19245242879197405
14,0.975,0.17630235552787782
15,0.9797297297297297,0.1586951144643732
16,0.9817567567567568,0.1403482053730939
17,0.9844594594594595,0.1327522739365294
18,0.9871621621621621,0.12771550489438546
19,0.9858108108108108,0.10797525676521096
20,0.9891891891891892,0.10623785925878061
21,0.9885135135135135,0.08759961837046855
22,0.9898648648648649,0.08325410734962772
23,0.9925675675675676,0.07634522399386844
24,0.9939189189189189,0.07004895919078105
25,0.9979729729729729,0.058798686354546936
26,0.9972972972972973,0.057339888488924184
27,0.9939189189189189,0.06032787950055019
28,0.9966216216216216,0.052605852444429654
29,0.995945945945946,0.05066305022384669
30,0.9993243243243243,0.041209940853956586
31,0.9972972972972973,0.04604907784913037
32,1.0,0.03636311991391955
33,0.9993243243243243,0.037795918787250644
34,0.9945945945945946,0.05213744690692103
35,0.9993243243243243,0.037178754202417424
36,1.0,0.027029659578929076
37,0.9993243243243243,0.030168434151926556
38,0.9993243243243243,0.030296045541763305
39,0.995945945945946,0.042944861445072535
