epoch,acc,loss
0,0.07364864864864865,3.407018385706721
1,0.18783783783783783,2.8385085801820495
2,0.3506756756756757,2.308723274437157
3,0.47297297297297297,1.8554565300812593
4,0.5560810810810811,1.5666755895356874
5,0.6412162162162162,1.276083871480581
6,0.702027027027027,1.076310267963925
7,0.7195945945945946,0.9370096786602123
8,0.7722972972972973,0.7931923721287701
9,0.8,0.6884796496984121
10,0.8277027027027027,0.5908755856591302
11,0.8425675675675676,0.5284145983489784
12,0.879054054054054,0.4388707309155851
13,0.8844594594594595,0.4194331240009617
14,0.9006756756756756,0.37991877262656754
15,0.9182432432432432,0.3149231461254326
16,0.9216216216216216,0.304610470178965
17,0.95,0.24499243530067238
18,0.9668918918918918,0.20449429508802053
19,0.9648648648648649,0.19287105766502585
20,0.9635135135135136,0.1802363825810922
21,0.9689189189189189,0.15858866886512654
22,0.9716216216216216,0.14259083649596652
23,0.9736486486486486,0.15224181035080472
24,0.9864864864864865,0.11891976441885974
25,0.9817567567567568,0.1105168058260067
26,0.9722972972972973,0.12896776038247185
27,0.9851351351351352,0.10602330750710255
28,0.9918918918918919,0.07691282219177968
29,0.9891891891891892,0.07699677638105444
30,0.9918918918918919,0.0787804668416848
31,0.9912162162162163,0.07103917103361439
32,0.9878378378378379,0.08570003283990396
33,0.9925675675675676,0.06468423472062962
34,0.995945945945946,0.052844963947663436
35,0.9966216216216216,0.03939769044518471
36,0.9918918918918919,0.05457567584675711
37,0.9986486486486487,0.03471660436810674
38,0.9945945945945946,0.04950756344038087
39,0.9952702702702703,0.050969537891246176
