epoch,acc,loss
0,0.15675675675675677,3.1482147216796874
1,0.4141891891891892,2.2140868496250463
2,0.606081081081081,1.6284579470350935
3,0.7216216216216216,1.2253772638939522
4,0.777027027027027,0.987045076731089
5,0.8364864864864865,0.7805180105003151
6,0.8567567567567568,0.6426392764658542
7,0.8986486486486487,0.5178741925471538
8,0.9175675675675675,0.44995430675712794
9,0.9344594594594594,0.379176533866573
10,0.9425675675675675,0.33047269453873507
11,0.9412162162162162,0.3131362244889543
12,0.9594594594594594,0.2488920318113791
13,0.9736486486486486,0.20924218393660882
14,0.9702702702702702,0.2057329203631427
15,0.9756756756756757,0.18169280854431358
16,0.975,0.16437829249613994
17,0.9790540540540541,0.1635676271206624
18,0.9797297297297297,0.15331889149304984
19,0.9905405405405405,0.1186169445514679
20,0.9885135135135135,0.10802676589102359
21,0.9898648648648649,0.09614083658199052
22,0.9952702702702703,0.08579249470620542
23,0.9932432432432432,0.08165855101636939
24,0.9932432432432432,0.07645459424804997
25,0.9939189189189189,0.07380489110946656
26,0.9979729729729729,0.05804413597326021
27,0.9932432432432432,0.07480188769263191
28,0.9925675675675676,0.07902263125052324
29,0.9979729729729729,0.05632102271995029
30,0.9979729729729729,0.04512944626244339
31,0.9979729729729729,0.04347472988270425
32,0.9993243243243243,0.03809411561972386
33,0.9993243243243243,0.036791204520173974
34,0.9979729729729729,0.04186820565043269
35,1.0,0.031127428243289124
36,0.9986486486486487,0.03613935662685214
37,0.9925675675675676,0.05363943194215362
38,0.9932432432432432,0.05057976342536308
39,0.995945945945946,0.04271621849085833
